column,dtype,missing_count,missing_rate_pct,unique_count
LanguageAdmired,object,14565,22.258049727218545,12335
YearsCodePro,object,13827,21.130247413542797,52
NEWCollabToolsWantToWorkWith,object,13350,20.401302015679203,9751
ToolsTechHaveWorkedWith,object,12955,19.797667986001805,19883
OpSysProfessional use,object,12464,19.04732796430154,2032
CodingActivities,object,10971,16.765744150862663,118
RemoteWork,object,10631,16.24616042911503,3
OfficeStackSyncHaveWorkedWith,object,9892,15.116829928022375,5049
LanguageWantToWorkWith,object,9685,14.800495132723077,22769
SurveyLength,object,9255,14.14337454345401,3
SurveyEase,object,9199,14.05779604810734,3
NEWCollabToolsHaveWorkedWith,object,7845,11.988630285618228,14168
OpSysPersonal use,object,7263,11.099225208979629,2488
Country,object,6507,9.943915521799592,185
SOHow,object,6475,9.89501352445864,111
SOComm,object,6274,9.587847853660774,6
DevType,object,5992,9.156899002093617,34
SOVisitFreq,object,5901,9.01783394715528,5
SOAccount,object,5877,8.981157449149563,3
LanguageHaveWorkedWith,object,5692,8.698442777022173,23864
YearsCode,object,5568,8.508947537325978,52
NEWSOSites,object,5151,7.871693384476671,32
LearnCode,object,4949,7.5629995262619,418
EdLevel,object,4653,7.110656050858077,8
AISelect,object,4530,6.922688998578785,3
MainBranch,object,0,0.0,5
Age,object,0,0.0,8
Employment,object,0,0.0,110
Check,object,0,0.0,1
ResponseId,int64,0,0.0,65437
